Sample,Area (µm2),Mean
Smooth,25.6097,8789.04545
Smooth,1.16408,5970
Smooth,2.32815,7100
Smooth,2.32815,6830.5
Smooth,1.16408,5621
Smooth,45.39901,11136.20513
Smooth,5.82039,6636.4
Smooth,6.98446,6593
Smooth,1.16408,5530
Smooth,6.98446,7811.5
Smooth,9.31262,8068.625
Smooth,4.65631,10589.75
Smooth,33.75824,8320.75862
Smooth,11.64077,7248.6
Smooth,1.16408,6190
Smooth,33.75824,9720.03448
Smooth,96.61841,14813.08434
Smooth,1.16408,5717
Smooth,3.49223,6021.66667
Smooth,3.49223,5839.33333
Smooth,1.16408,6543
Smooth,1.16408,6875
Smooth,4.65631,6209.75
Smooth,1.16408,5926
Smooth,1.16408,6343
Smooth,2.32815,6517
Smooth,1.16408,5572
Smooth,31.43009,8573.18519
Smooth,1.16408,5615
Smooth,1.16408,5514
Smooth,1.16408,5808
Smooth,1.16408,6663
Smooth,1.16408,5482
Smooth,1.16408,5574
Smooth,1.16408,5634
Smooth,6.98446,10146.5
Smooth,4.65631,6573.5
Smooth,61.69609,11518.16981
Smooth,1.16408,6842
Smooth,4.65631,6274.5
Smooth,5.82039,6956.2
Smooth,2.32815,6687.5
Smooth,1.16408,7237
Smooth,1.16408,5841
Smooth,1.16408,7839
Smooth,1.16408,6491
Smooth,18.62524,8344.4375
Smooth,3.49223,6433.66667
Smooth,44.23494,9952.73684
Smooth,1.16408,5502
Smooth,1.16408,5689
Smooth,1.16408,9798
Smooth,2.32815,9200.5
Smooth,1.16408,5459
Smooth,3.49223,6285.66667
Smooth,1.16408,6273
Smooth,11.64077,6174.5
Smooth,1.16408,5471
Smooth,2.32815,6872
Smooth,34.92232,6904.56667
Smooth,1.16408,5579
Smooth,1.16408,7146
Smooth,68.68056,13361.38983
Smooth,2.32815,5610
Smooth,2.32815,6207
Smooth,5.82039,8101
Smooth,4.65631,9506
Smooth,1.16408,7137
Smooth,24.44562,9866
Smooth,1.16408,6079
Smooth,1.16408,5482
Smooth,1.16408,5666
Smooth,2.32815,7576
Smooth,10.4767,8265.22222
Smooth,33.75824,9740.58621
Smooth,1.16408,6481
Smooth,1.16408,5716
Smooth,2.32815,5624.5
Smooth,2.32815,7850.5
Smooth,5.82039,6546.2
Smooth,2.32815,6662
Smooth,6.98446,6840.66667
Smooth,1.16408,7068
Smooth,1.16408,5571
Smooth,19.78931,6453
Smooth,2.32815,5932
Smooth,2.32815,6296
Smooth,1.16408,5467
Smooth,1.16408,6321
Smooth,10.4767,7684.77778
Smooth,1.16408,5586
Smooth,1.16408,6569
